0,0,2015-04-19 22:18,Paypal
1,0,2016-04-11 13:43,Paypal
2,0,2017-05-10 15:48,Visa
3,1,2016-04-14 13:01,Mastercard
4,1,2016-11-04 5:26,Paypal
5,2,2016-08-04 11:40,Interac
6,0,2016-10-01 7:54,Interac
7,1,2018-04-24 1:24,Visa
8,2,2016-07-11 18:04,American Express
9,1,2018-08-12 7:26,Paypal
10,1,2016-08-31 18:25,Visa
11,2,2016-05-15 20:54,Visa
12,1,2016-02-24 6:49,Visa
13,1,2018-04-26 18:23,Visa
14,2,2015-11-26 9:00,Mastercard
15,1,2015-08-28 5:56,American Express
16,1,2020-02-03 21:58,American Express
17,2,2015-11-16 14:21,Interac
18,0,2017-05-24 10:13,Mastercard
19,1,2018-10-29 2:24,Paypal
20,1,2013-01-22 9:01,Visa
21,1,2012-11-08 2:56,Visa
22,1,2018-01-31 21:12,Mastercard
23,1,2014-11-16 14:21,American Express
24,1,2013-05-24 10:13,American Express
25,1,2018-09-21 2:24,Interac
26,1,2017-02-27 2:24,Paypal